Ground Truth Set: lat/lng: (42.30160006564681,-71.38359691947699)
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Mobile_LOB, BSSID: 6c:f3:7f:53:be:63, capabilities: [WPA2-PSK-CCMP][ESS], level: -70, frequency: 2437, timestamp: 349555572431, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Microsoft Store, BSSID: 6c:f3:7f:53:be:61, capabilities: [ESS], level: -72, frequency: 2437, timestamp: 349555572417, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Microsoft Store, BSSID: 6c:f3:7f:53:ae:81, capabilities: [ESS], level: -55, frequency: 2412, timestamp: 349570610614, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Natick Courtesy Wireless, BSSID: 00:15:6d:53:d3:d9, capabilities: [ESS], level: -83, frequency: 2412, timestamp: 349555572289, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: , BSSID: 6c:f3:7f:53:be:62, capabilities: [WPA2-PSK-CCMP][ESS], level: -59, frequency: 2437, timestamp: 349555572474, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: , BSSID: 6c:f3:7f:53:bd:70, capabilities: [WPA2-EAP-CCMP][ESS], level: -69, frequency: 5180, timestamp: 349555572847, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: MDM, BSSID: 6c:f3:7f:53:be:77, capabilities: [WPA2-PSK-CCMP][ESS], level: -73, frequency: 5180, timestamp: 349555572816, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: , BSSID: 6c:f3:7f:53:be:72, capabilities: [WPA2-PSK-CCMP][ESS], level: -73, frequency: 5180, timestamp: 349555572801, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: MPS, BSSID: 84:24:8d:1c:91:c2, capabilities: [WPA2-PSK-CCMP][ESS], level: -75, frequency: 5180, timestamp: 349570610700, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: denim_wifi, BSSID: 84:24:8d:1c:91:c4, capabilities: [WPA2-PSK-CCMP][ESS], level: -75, frequency: 5180, timestamp: 349570610704, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
