Ground Truth Set: lat/lng: (42.30246102669409,-71.38341084122658)
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: STRWLAN08, BSSID: 00:1d:70:98:85:d7, capabilities: [WPA2-PSK-CCMP][ESS], level: -70, frequency: 2437, timestamp: 348666504209, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 6c:f3:7f:2f:9e:40, capabilities: [ESS], level: -57, frequency: 2437, timestamp: 348651505393, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: FREEPEOPLE_GUEST_WIFI, BSSID: 9c:1c:12:e8:2a:25, capabilities: [ESS], level: -71, frequency: 2462, timestamp: 348666504254, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: Nordstrom_Wi-Fi, BSSID: 00:24:6c:0c:ea:9a, capabilities: [ESS], level: -91, frequency: 5785, timestamp: 348651505541, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5805, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: xfinitywifi, BSSID: d8:97:ba:ca:63:ea, capabilities: [ESS], level: -92, frequency: 5240, timestamp: 348666504386, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5220, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: JennyBoston, BSSID: 20:25:64:62:3d:d0, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS], level: -65, frequency: 2437, timestamp: 348651505381, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 00:1d:70:98:85:d6, capabilities: [WPA2-PSK-CCMP][ESS], level: -68, frequency: 2437, timestamp: 348651505399, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 00:1d:70:98:85:d5, capabilities: [WPA2-EAP-CCMP][ESS], level: -68, frequency: 2437, timestamp: 348651505371, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 00:23:68:8b:20:40, capabilities: [WPA-EAP-TKIP][WPA2-EAP-CCMP+TKIP][ESS], level: -69, frequency: 2437, timestamp: 348651505377, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: wlanpk01, BSSID: 00:23:68:8b:20:41, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -71, frequency: 2437, timestamp: 348666504190, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 8a:15:04:70:39:20, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -73, frequency: 2437, timestamp: 348651505403, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 00:24:6c:0d:a3:34, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 2412, timestamp: 348651505346, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 00:24:6c:0d:a3:30, capabilities: [WPA2-EAP-CCMP][ESS], level: -77, frequency: 2412, timestamp: 348651505340, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 74:a0:2f:cc:5c:e1, capabilities: [WPA2-EAP-CCMP+TKIP][ESS], level: -77, frequency: 2412, timestamp: 348651505352, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 0a:18:0a:81:d2:9a, capabilities: [WPA-EAP-CCMP+TKIP][WPA2-EAP-CCMP+TKIP][ESS], level: -79, frequency: 2437, timestamp: 348651505374, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
