venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: xfinitywifi, BSSID: c0:7c:d1:0d:0b:31, capabilities: [ESS], level: -91, frequency: 5240, timestamp: 184854590475, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 2, centerFreq0: 5210, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: , BSSID: 18:64:72:11:6c:93, capabilities: [ESS], level: -91, frequency: 5825, timestamp: 184854590843, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: NATDEVguests, BSSID: 6e:24:f7:d8:9f:70, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -57, frequency: 2437, timestamp: 184870549957, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: NATDEVstaff, BSSID: 6c:70:9f:d8:f7:24, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -57, frequency: 2437, timestamp: 184870549978, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: NATDEVguests, BSSID: 6e:25:f7:d8:9f:70, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -72, frequency: 5180, timestamp: 184870549996, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 2, centerFreq0: 5210, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: NATDEVstaff, BSSID: 6c:70:9f:d8:f7:25, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -72, frequency: 5180, timestamp: 184870550010, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 2, centerFreq0: 5210, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: InfCorp, BSSID: 50:60:28:2b:ab:41, capabilities: [WPA2-EAP-CCMP-preauth][ESS], level: -67, frequency: 2437, timestamp: 184870549974, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: SkyFi-Guest, BSSID: e0:1c:41:3b:94:14, capabilities: [WPA2-PSK-CCMP][ESS], level: -59, frequency: 2462, timestamp: 184872131047, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: SkyFi-Corp, BSSID: e0:1c:41:3b:dc:d5, capabilities: [WPA2-PSK-CCMP][ESS], level: -74, frequency: 2437, timestamp: 184870549971, distance: ?(cm), distanceSd: ?(cm), passpoint: no, status: 16, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: SkyFi-Guest, BSSID: e0:1c:41:3b:dc:d4, capabilities: [WPA2-PSK-CCMP][ESS], level: -74, frequency: 2437, timestamp: 184870549964, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
