venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: MSCBA, BSSID: 80:ea:96:ed:c6:21, capabilities: [WPA2-PSK-CCMP][ESS], level: -84, frequency: 5745, timestamp: 180839239718, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: NHP Corporate, BSSID: 00:19:92:30:c7:e1, capabilities: [WPA2-EAP-CCMP][ESS], level: -80, frequency: 2462, timestamp: 180839239698, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: NHP_Corprorate, BSSID: 00:19:92:30:e6:03, capabilities: [WPA2-EAP-CCMP][ESS], level: -81, frequency: 2412, timestamp: 180839239669, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: NHP Visitor, BSSID: 00:19:92:38:30:22, capabilities: [WPA2-PSK-CCMP][ESS], level: -81, frequency: 2412, timestamp: 180839239662, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: AV1, BSSID: b4:75:0e:67:b0:ec, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -85, frequency: 5180, timestamp: 180839239702, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 2, centerFreq0: 5210, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: MSCBA Guest, BSSID: 82:21:c6:ed:96:e0, capabilities: [WPA2-PSK-CCMP][ESS], level: -85, frequency: 5745, timestamp: 180839239716, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: NHP_Corprorate, BSSID: 00:19:92:37:3f:83, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 2412, timestamp: 180839239664, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: GEOADAPTIVE, BSSID: 40:16:7e:59:9e:cc, capabilities: [WPA2-PSK-CCMP][ESS], level: -86, frequency: 5745, timestamp: 180839239711, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5765, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: RBM, BSSID: 00:18:0a:f0:9c:90, capabilities: [WPA-EAP-CCMP+TKIP][WPA2-EAP-CCMP+TKIP][ESS], level: -83, frequency: 2422, timestamp: 180839239673, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: , BSSID: d4:68:4d:a7:4f:c7, capabilities: [WPA2-PSK-CCMP][ESS], level: -87, frequency: 5745, timestamp: 180839239725, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5765, centerFreq1: 0, 80211mcResponder: is not supported
