venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: imwireless, BSSID: 02:18:5a:8f:b6:50, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -82, frequency: 5745, timestamp: 184463206666, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5765, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: knollguestBOS, BSSID: 84:b8:02:76:68:23, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -79, frequency: 2412, timestamp: 184463206560, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: PWNIE_Express_2.412Ghz, BSSID: 14:cc:20:42:42:f4, capabilities: [WPA2-PSK-CCMP][ESS], level: -79, frequency: 2457, timestamp: 184463206603, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: , BSSID: 16:18:0a:27:cd:98, capabilities: [WPA2-PSK-CCMP][ESS], level: -80, frequency: 2462, timestamp: 184463206625, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: Connective DX, BSSID: 02:18:1a:e0:dc:10, capabilities: [WPA2-PSK-CCMP][ESS], level: -85, frequency: 5240, timestamp: 184463206648, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5220, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: NHP Visitor, BSSID: 00:19:92:37:3f:82, capabilities: [WPA2-PSK-CCMP][ESS], level: -82, frequency: 2412, timestamp: 184463206557, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: Connective DX Guest, BSSID: 06:18:1a:e0:dc:10, capabilities: [WPA2-PSK-CCMP][ESS], level: -86, frequency: 5240, timestamp: 184463206652, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5220, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: LearnLaunchMobile, BSSID: 0e:18:1a:26:b9:ee, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -86, frequency: 5785, timestamp: 184463206685, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5805, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: BevSpot Guest, BSSID: 8a:15:14:29:74:91, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -89, frequency: 5180, timestamp: 184463206636, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 2, centerFreq0: 5210, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: MHE_DATA, BSSID: 18:64:72:5f:41:f4, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5745, timestamp: 184463206659, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5765, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: BevSpot, BSSID: 8a:15:14:29:74:90, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -90, frequency: 5180, timestamp: 184463206633, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 2, centerFreq0: 5210, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: Clickshare_Conference_Room, BSSID: 00:0e:8e:55:fe:ad, capabilities: [WPA2-PSK-CCMP+TKIP][ESS], level: -90, frequency: 5785, timestamp: 184463206681, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: xfinitywifi, BSSID: 60:02:92:f2:a7:0a, capabilities: [ESS], level: -60, frequency: 2437, timestamp: 184463206575, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: xfinitywifi, BSSID: 20:25:64:f5:ce:42, capabilities: [ESS], level: -70, frequency: 2437, timestamp: 184463206582, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: DDGuestWifi, BSSID: ac:86:74:02:5c:4a, capabilities: [ESS], level: -82, frequency: 2447, timestamp: 184463206586, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: HP74813A, BSSID: 02:21:61:5a:60:54, capabilities: [IBSS], level: -72, frequency: 2457, timestamp: 184463206600, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: MHE_GUEST, BSSID: 18:64:72:5f:41:f5, capabilities: [ESS], level: -89, frequency: 5745, timestamp: 184463206662, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5765, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, CellInfoLte:{mRegistered=YES mTimeStampType=oem_ril mTimeStamp=115178169109858ns CellIdentityLte:{ mMcc=310 mMnc=410 mCi=15938824 mPci=234 mTac=1042} CellSignalStrengthLte: ss=24 rsrp=-100 rsrq=-16 rssnr=2147483647 cqi=2147483647 ta=2147483647}
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, CellInfoLte:{mRegistered=NO mTimeStampType=oem_ril mTimeStamp=115178169109858ns CellIdentityLte:{ mMcc=2147483647 mMnc=2147483647 mCi=2147483647 mPci=236 mTac=2147483647} CellSignalStrengthLte: ss=20 rsrp=-100 rsrq=-16 rssnr=2147483647 cqi=2147483647 ta=2147483647}
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 2, null, SSID: imguests, BSSID: 8c:b6:4f:c9:a7:2e, capabilities: [WPA2-PSK-CCMP][ESS], level: -80, frequency: 5785, timestamp: 184448215279, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 2, null, SSID: AV1, BSSID: b4:75:0e:67:b0:eb, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -66, frequency: 2427, timestamp: 184463206564, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 2, null, SSID: Crestron-133783, BSSID: 00:10:7f:13:37:83, capabilities: [ESS], level: -80, frequency: 2452, timestamp: 184463206593, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 2, null, SSID: ORI, BSSID: 94:b4:0f:3f:72:60, capabilities: [WPA2-PSK-CCMP][ESS], level: -71, frequency: 2462, timestamp: 184463206629, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
